alpha,Test Acc,Test Loss,with permutation
0.0,0.9767686128616333,0.07915112730115652,False
0.0,0.9767733812332153,0.07915112730115652,True
0.1,0.9767780900001526,0.07915112394839526,False
0.1,0.9767827987670898,0.07915112394839526,True
0.2,0.9767874479293823,0.07915113093331456,False
0.2,0.9767920970916748,0.07915113093331456,True
0.30000000000000004,0.9767967462539673,0.07915112413465977,False
0.30000000000000004,0.976801335811615,0.07915112413465977,True
0.4,0.9768059253692627,0.07915113102644682,False
0.4,0.9768104553222656,0.07915113335475325,True
0.5,0.9768149852752686,0.07915113102644682,False
0.5,0.9768195152282715,0.07915113419294358,True
0.6000000000000001,0.9768239855766296,0.07915113167837262,False
0.6000000000000001,0.9768284559249878,0.07915113167837262,True
0.7000000000000001,0.9768328666687012,0.07915112841874361,False
0.7000000000000001,0.9768372774124146,0.07915112841874361,True
0.8,0.9768416881561279,0.0791511363349855,False
0.8,0.9768460392951965,0.0791511363349855,True
0.9,0.9768503904342651,0.07915112944319844,False
0.9,0.9768547415733337,0.07915112972259522,True
1.0,0.9768590331077576,0.07915112972259522,False
1.0,0.9768632650375366,0.07915112972259522,True
